id,coachName,coachAge
1628210,Joe Mazzulla,-1
1627327,Mark Daigneault,-1
2610,Michael Malone,-1
1301,Tom Thibodeau,-1
201878,Adrian Griffin,-1
202896,Chris Finch,-1
2794,JB Bickerstaff,-1
202978,Tyronn Lue,-1
203456,Jason Kidd,-1
202427,Jamahl Mosley,-1
1320,Rick Carlisle,-1
2345,Frank Vogel,-1
1628228,Willie Green,-1
203606,Nick Nurse,-1
203005,Darvin Ham,-1
1787,Erik Spoelstra,-1
1627310,Billy Donovan,-1
1658,Mike Brown,-1
202439,Quin Snyder,-1
204005,Steve Kerr,-1
203152,Ime Udoka,-1
202588,Jacque Vaughn,-1
204011,Darko Rajakovic,-1
1628181,Will Hardy,-1
203624,Taylor Jenkins,-1
2168,Steve Clifford,-1
873,Gregg Popovich,-1
1018,Wes Unseld,-1
1497,Chauncey Billups,-1
101273,Monty Williams,-1
